block_id,node_id,time_ms
0,812,0
0,74,109.8688318126973
0,704,110.27537725434317
0,197,112.51948994564897
0,377,115.51431001368644
0,541,116.26801987987865
0,574,116.38336630416512
0,567,116.48514576663736
0,292,117.28003711717088
0,564,118.91624094525487
0,319,122.01935331701141
0,552,132.5206359746394
0,257,135.4470537781719
0,149,137.69681004504466
0,155,138.5500695192658
0,923,138.58695887907723
0,224,138.8371556532178
0,557,142.650214700169
0,386,144.75033723628846
0,179,146.5628419153016
0,465,147.25671299516742
0,199,147.63906127909254
0,640,153.94502341800293
0,760,157.43759385779595
0,972,158.58533754681338
0,689,183.05183672880798
0,94,185.36597867430555
0,403,187.60032211442382
0,857,196.82235370144957
0,697,202.827933174281
0,639,213.04305705700585
0,731,214.3900173193598
0,773,215.60382423982742
0,126,217.40001890159363
0,532,219.52242260519742
0,941,223.66813742079367
0,389,224.1605835400128
0,761,230.4393194304144
0,237,230.6316469334926
0,724,231.31368310399307
0,223,232.04649001604423
0,811,233.01307138951063
0,891,233.1967637532635
0,67,233.93761556381017
0,440,236.94396691370986
0,505,237.77035290888398
0,956,240.31637509291613
0,824,240.8467670580391
0,987,240.86454557251147
0,240,242.01829583727056
0,391,244.73768359252318
0,806,247.43927181068867
0,966,247.8763468768961
0,416,247.91546046304597
0,890,248.5773238178462
0,476,248.58658637294752
0,984,249.61698619111644
0,364,249.90087046901732
0,783,250.07178878232827
0,514,250.95159535135986
0,751,251.34440431081114
0,663,252.44193968256337
0,983,253.82358821049212
0,794,254.35431712811044
0,40,254.40715263922712
0,157,255.56823655684912
0,538,255.80564592437526
0,493,257.7697925076458
0,962,258.08875990302846
0,509,260.67771855506226
0,869,260.82881531896317
0,374,260.91506480582933
0,548,261.18903532608545
0,774,261.2549243134086
0,105,261.67625062342296
0,88,261.88229869295725
0,676,263.39793483248974
0,120,263.6759738462597
0,226,264.1036918366853
0,790,264.44731548077334
0,166,264.64929109971683
0,708,265.28535287016985
0,591,265.4706617743882
0,982,265.8878771961787
0,148,266.19619376602765
0,685,266.81320558008423
0,235,266.92589968576823
0,615,266.9873758234805
0,457,268.26130301442294
0,837,268.7997480972544
0,669,269.2240282475391
0,789,270.2116589993785
0,460,270.875044237851
0,326,271.8062877784761
0,767,272.4353211641602
0,963,272.47191930938794
0,958,272.7845255349523
0,498,273.6651832052056
0,512,273.82583736856316
0,134,275.12446277511407
0,241,275.34466118382556
0,242,276.3112128326968
0,590,277.0844876445703
0,317,280.27508014732337
0,781,281.480830942308
0,181,281.9326823450392
0,184,281.95312855595915
0,668,282.6672651479921
0,345,284.76502340427186
0,265,284.777588477825
0,352,285.38554469229126
0,415,285.6419038161464
0,147,286.53603738091886
0,412,287.29571480535856
0,107,287.83215193985103
0,144,290.8292142390674
0,571,292.2311828561244
0,985,293.12379586399084
0,651,294.1513600964292
0,127,294.6200137264801
0,604,295.47660033559373
0,47,295.5945128062192
0,851,296.2048480665203
0,847,296.6152476521371
0,161,296.75483813683286
0,864,297.3304761869344
0,69,297.56689707040516
0,321,297.77963515548106
0,736,298.2506351987907
0,910,299.2273982799992
0,709,299.26114017487174
0,938,299.93575619234593
0,927,300.7426050422923
0,481,300.98124433873267
0,59,301.5677121130332
0,468,303.58995854551586
0,499,303.69273273190623
0,975,305.1767828987776
0,64,306.26571216186915
0,252,307.6920725298346
0,820,307.941495563491
0,254,310.6932853453501
0,387,312.68227137519426
0,29,313.0979490580766
0,190,313.4769361975152
0,353,313.979320580249
0,554,315.0647798961225
0,804,315.0764651865437
0,925,315.13769899425614
0,73,317.9575087315926
0,86,318.08598668875567
0,926,318.43874063886983
0,280,320.42386208778834
0,48,320.43703096798515
0,969,321.1410127774477
0,667,321.7278133294914
0,77,322.3016228150933
0,9,323.60451850488596
0,967,326.04145480758115
0,114,326.6882405624189
0,943,327.5667585164068
