block_id,node_id,time_ms
0,241,0
0,673,122.79406967938385
0,858,124.24525215435143
0,556,130.7720890797898
0,613,132.64693880181375
0,115,145.5842501163569
0,897,152.82559022644165
0,712,156.8525304707532
0,126,160.8305137721653
0,255,162.89279634814906
0,398,163.47392070171634
0,75,171.16736296016475
0,110,176.9382735656789
0,674,177.22611295283903
0,627,179.84457256179894
0,361,181.87887649819132
0,951,187.70831349328625
0,836,188.05698431554362
0,229,188.35355353142154
0,745,207.5472773253706
0,595,213.10079986535538
0,728,217.72065575658112
0,185,221.53902903912228
0,436,222.32915055468342
0,687,230.66473473770844
0,371,233.19341036939832
0,403,253.9627160911692
0,841,259.1066395053806
0,494,296.12072256673264
0,906,316.61650965763806
0,861,323.0217016139939
0,441,330.4161042985012
0,579,330.5397574556007
0,940,333.3290328278328
0,602,351.29712194518385
0,518,352.9003081276319
0,196,356.6957431154249
0,266,365.2221875026834
0,35,366.6201974444447
0,387,367.09625697178586
0,125,370.404305029526
0,356,374.82543376830984
0,191,375.46596215723645
0,892,375.6814695662951
0,825,376.12129880106295
0,502,379.58354055356176
0,252,380.1261832568851
0,704,383.4863478023771
0,380,384.1625573184125
0,883,384.70668562827757
0,717,385.4560563730638
0,548,387.2499192290603
0,973,390.56853338397775
0,251,393.88839558360337
0,447,397.3776256040193
0,650,397.9574395474295
0,846,401.2819492104954
0,655,401.82251963892287
0,731,402.38434178511324
0,818,403.3147652064009
0,626,403.6960229410116
0,503,404.90622892465103
0,278,405.76955452143636
0,638,412.57007449731003
0,788,414.1110142787395
0,850,417.6696543056574
0,46,422.0411274073144
0,696,424.1724292122876
0,297,429.0313375902002
0,496,430.0522638200734
0,123,430.38994477270154
0,880,431.91291548562685
0,804,432.26430761255864
0,792,432.36596734328305
0,242,433.0309453675387
0,756,433.08158505632673
0,342,438.0870068957896
0,593,439.3178229830322
0,589,439.604517887432
0,438,440.92142587994636
0,910,445.447753189467
0,672,451.2564048404579
0,231,451.53321200765134
0,510,452.0044187782262
0,706,463.82171288787725
0,33,464.8181133274046
0,558,467.15960891440875
0,786,469.6970825661019
0,748,470.96251443548135
0,594,472.46048234652704
0,641,476.5068912852088
0,158,480.5494242870078
0,419,483.0030567860242
0,442,485.5068608234029
0,537,486.8751272572139
0,298,488.2509157579521
0,911,492.2042654161334
