block_id,msg_type,sender,receiver,time_ms
0,IHAVE,978,801,0
0,IHAVE,978,445,0
0,IHAVE,978,516,0
0,IHAVE,978,992,0
0,IHAVE,978,332,0
0,IHAVE,978,752,0
0,IHAVE,978,741,0
0,IHAVE,978,105,0
0,IHAVE,978,222,0
0,IHAVE,978,736,0
0,IHAVE,978,817,0
0,IHAVE,978,457,0
0,IHAVE,978,739,0
0,IHAVE,978,494,0
0,IHAVE,978,396,0
0,IHAVE,978,149,0
0,IHAVE,978,368,0
0,IHAVE,978,390,0
0,IHAVE,978,896,0
0,IHAVE,978,89,0
0,IHAVE,978,730,0
0,IWANT,516,978,7.091339958700628
0,IWANT,896,978,24.489636188111987
0,IWANT,739,978,26.531555729134958
0,IWANT,368,978,30.762837428552878
0,IWANT,222,978,32.10402609898233
0,IWANT,801,978,32.911629096546385
0,IWANT,445,978,35.93010374463297
0,IWANT,457,978,38.43553766264405
0,IWANT,752,978,38.539897962012944
0,IWANT,817,978,39.00128441303688
0,IWANT,396,978,46.186332552589356
0,IWANT,390,978,55.340481233484105
0,IWANT,730,978,58.11783645226029
0,IWANT,105,978,62.61464251351244
0,IWANT,494,978,71.95213166956282
0,IWANT,149,978,77.34425542193246
0,IWANT,741,978,92.8581228962674
0,IWANT,89,978,98.02349008530935
0,IHAVE,739,943,98.33052454904362
0,IHAVE,739,457,98.33052454904362
0,IHAVE,739,152,98.33052454904362
0,IHAVE,739,83,98.33052454904362
0,IHAVE,739,299,98.33052454904362
0,IHAVE,739,708,98.33052454904362
0,IHAVE,739,468,98.33052454904362
0,IHAVE,739,82,98.33052454904362
0,IHAVE,739,836,98.33052454904362
0,IHAVE,739,707,98.33052454904362
0,IHAVE,739,63,98.33052454904362
0,IHAVE,739,476,98.33052454904362
0,IHAVE,739,211,98.33052454904362
0,IHAVE,445,49,100.776092099331
0,IHAVE,445,516,100.776092099331
0,IWANT,736,978,109.29847249338742
0,IHAVE,457,152,110.05547959643567
0,IHAVE,457,31,110.05547959643567
0,IHAVE,457,739,110.05547959643567
0,IHAVE,457,943,110.05547959643567
0,IHAVE,457,772,110.05547959643567
0,IHAVE,457,83,110.05547959643567
0,IHAVE,457,708,110.05547959643567
0,IHAVE,457,3,110.05547959643567
0,IHAVE,457,37,110.05547959643567
0,IHAVE,457,926,110.05547959643567
0,IHAVE,457,190,110.05547959643567
0,IHAVE,457,35,110.05547959643567
0,IHAVE,457,476,110.05547959643567
0,IHAVE,457,93,110.05547959643567
0,IWANT,943,739,112.53917975031642
0,IWANT,211,739,115.24703447819229
0,IWANT,457,739,121.4162865200228
0,IWANT,332,978,124.88060108871359
0,IWANT,516,445,126.33804512866392
0,IWANT,707,739,127.15799405463952
0,IWANT,152,739,127.3550535520501
0,IWANT,3,457,128.66526957749522
0,IWANT,93,457,130.52765660577467
0,IHAVE,516,445,133.14671579702767
0,IHAVE,516,49,133.14671579702767
0,IHAVE,896,326,137.36377182111227
0,IHAVE,896,529,137.36377182111227
0,IHAVE,896,293,137.36377182111227
0,IHAVE,896,367,137.36377182111227
0,IHAVE,896,880,137.36377182111227
0,IHAVE,896,437,137.36377182111227
0,IHAVE,896,526,137.36377182111227
0,IHAVE,896,631,137.36377182111227
0,IHAVE,896,856,137.36377182111227
0,IHAVE,896,930,137.36377182111227
0,IHAVE,896,286,137.36377182111227
0,IHAVE,896,869,137.36377182111227
0,IHAVE,896,866,137.36377182111227
0,IHAVE,896,786,137.36377182111227
0,IHAVE,105,886,137.58405172537226
0,IHAVE,105,222,137.58405172537226
0,IHAVE,105,626,137.58405172537226
0,IHAVE,105,343,137.58405172537226
0,IWANT,83,739,137.8279342640384
0,IWANT,82,739,139.18199122742746
0,IHAVE,817,763,139.26108257126424
0,IHAVE,817,736,139.26108257126424
0,IHAVE,817,435,139.26108257126424
0,IHAVE,817,238,139.26108257126424
0,IHAVE,817,394,139.26108257126424
0,IWANT,772,457,147.02687279623527
0,IWANT,856,896,147.21832864410698
0,IWANT,299,739,151.17353339505195
0,IWANT,238,817,152.2993031745943
0,IWANT,35,457,152.6455559210431
0,IWANT,886,105,153.7270540719072
0,IHAVE,730,417,157.09416598697877
0,IHAVE,730,134,157.09416598697877
0,IHAVE,730,597,157.09416598697877
0,IHAVE,730,889,157.09416598697877
0,IHAVE,730,221,157.09416598697877
0,IHAVE,730,530,157.09416598697877
0,IHAVE,730,532,157.09416598697877
0,IHAVE,730,684,157.09416598697877
0,IHAVE,730,418,157.09416598697877
0,IHAVE,730,74,157.09416598697877
0,IHAVE,730,95,157.09416598697877
0,IHAVE,730,790,157.09416598697877
0,IHAVE,730,273,157.09416598697877
0,IHAVE,730,592,157.09416598697877
0,IHAVE,730,857,157.09416598697877
0,IHAVE,730,96,157.09416598697877
0,IHAVE,730,473,157.09416598697877
0,IHAVE,730,581,157.09416598697877
0,IHAVE,730,648,157.09416598697877
0,IHAVE,730,596,157.09416598697877
0,IWANT,286,896,159.35271513730825
0,IHAVE,390,551,163.15530212977407
0,IHAVE,390,441,163.15530212977407
0,IHAVE,390,949,163.15530212977407
0,IHAVE,390,20,163.15530212977407
0,IHAVE,390,351,163.15530212977407
0,IHAVE,390,361,163.15530212977407
0,IHAVE,390,665,163.15530212977407
0,IHAVE,390,421,163.15530212977407
0,IHAVE,390,627,163.15530212977407
0,IHAVE,390,289,163.15530212977407
0,IHAVE,390,567,163.15530212977407
0,IHAVE,390,431,163.15530212977407
0,IHAVE,390,796,163.15530212977407
0,IHAVE,390,756,163.15530212977407
0,IHAVE,390,236,163.15530212977407
0,IHAVE,390,631,163.15530212977407
0,IHAVE,368,822,163.49455320760717
0,IHAVE,368,887,163.49455320760717
0,IHAVE,368,902,163.49455320760717
0,IHAVE,368,862,163.49455320760717
0,IHAVE,368,674,163.49455320760717
0,IHAVE,368,175,163.49455320760717
0,IHAVE,368,111,163.49455320760717
0,IHAVE,368,237,163.49455320760717
0,IHAVE,368,454,163.49455320760717
0,IHAVE,368,629,163.49455320760717
0,IHAVE,368,575,163.49455320760717
0,IWANT,526,896,163.6962907507038
0,IWANT,880,896,167.85638312128202
0,IWANT,626,105,168.63285558453742
0,IWANT,631,896,169.4135640682823
0,IWANT,869,896,169.41622010563117
0,IHAVE,494,875,170.0600501461278
0,IHAVE,494,393,170.0600501461278
0,IHAVE,494,652,170.0600501461278
0,IHAVE,494,593,170.0600501461278
0,IHAVE,494,650,170.0600501461278
0,IHAVE,494,451,170.0600501461278
0,IHAVE,494,53,170.0600501461278
0,IHAVE,494,749,170.0600501461278
0,IHAVE,494,464,170.0600501461278
0,IWANT,49,516,170.51033178752527
0,IHAVE,149,469,172.03586589580192
0,IHAVE,149,808,172.03586589580192
0,IHAVE,149,804,172.03586589580192
0,IHAVE,149,465,172.03586589580192
0,IHAVE,149,136,172.03586589580192
0,IHAVE,149,514,172.03586589580192
0,IHAVE,149,629,172.03586589580192
0,IHAVE,149,346,172.03586589580192
0,IHAVE,149,131,172.03586589580192
0,IHAVE,149,863,172.03586589580192
0,IHAVE,149,242,172.03586589580192
0,IHAVE,149,826,172.03586589580192
0,IHAVE,149,636,172.03586589580192
0,IHAVE,149,732,172.03586589580192
0,IWANT,83,457,172.3110851671251
0,IWANT,736,817,173.44624478541178
0,IWANT,476,457,173.74277134408726
0,IWANT,351,390,174.45289315748715
0,IWANT,49,445,175.26603494599743
0,IWANT,476,739,175.9480557397638
0,IWANT,394,817,176.6316850237521
0,IHAVE,741,849,176.85316273535028
0,IHAVE,741,752,176.85316273535028
0,IWANT,441,390,178.37512005642063
0,IWANT,875,494,178.84433197603843
0,IWANT,575,368,179.56076202236807
0,IWANT,636,149,179.79026855171838
0,IWANT,796,390,180.37843772154415
0,IWANT,367,896,181.2189777846169
0,IWANT,31,457,182.16542672610646
0,IWANT,652,494,183.13810660084596
0,IWANT,732,149,184.92097336955493
0,IWANT,866,896,185.30035237425926
0,IWANT,273,730,185.53229584748024
0,IHAVE,89,774,186.43210780907148
0,IHAVE,89,606,186.43210780907148
0,IHAVE,89,261,186.43210780907148
0,IHAVE,89,710,186.43210780907148
0,IHAVE,89,480,186.43210780907148
0,IHAVE,89,956,186.43210780907148
0,IHAVE,89,965,186.43210780907148
0,IHAVE,89,960,186.43210780907148
0,IHAVE,89,698,186.43210780907148
0,IHAVE,89,845,186.43210780907148
0,IHAVE,89,555,186.43210780907148
0,IHAVE,89,884,186.43210780907148
0,IHAVE,89,91,186.43210780907148
0,IHAVE,89,16,186.43210780907148
0,IHAVE,89,456,186.43210780907148
0,IHAVE,89,539,186.43210780907148
0,IWANT,96,730,186.46794594760993
0,IWANT,221,730,186.90930366503372
0,IWANT,417,730,186.97797187576418
0,IWANT,836,739,187.70906376563767
0,IWANT,596,730,187.97001516331864
0,IWANT,437,896,188.7957033005071
0,IWANT,887,368,189.81515214120643
0,IWANT,361,390,189.8883790546284
0,IWANT,445,516,190.687579052569
0,IWANT,930,896,190.82455132655318
0,IWANT,592,730,191.09886209511097
0,IHAVE,752,849,193.031559501769
