block_id,msg_type,sender,receiver,time_ms
0,IHAVE,978,801,0
0,IHAVE,978,445,0
0,IHAVE,978,516,0
0,IHAVE,978,992,0
0,IHAVE,978,332,0
0,IHAVE,978,752,0
0,IHAVE,978,741,0
0,IHAVE,978,105,0
0,IHAVE,978,222,0
0,IHAVE,978,736,0
0,IHAVE,978,817,0
0,IHAVE,978,457,0
0,IHAVE,978,739,0
0,IHAVE,978,494,0
0,IHAVE,978,396,0
0,IHAVE,978,149,0
0,IHAVE,978,368,0
0,IHAVE,978,390,0
0,IHAVE,978,896,0
0,IHAVE,978,89,0
0,IHAVE,978,730,0
0,IWANT,516,978,7.091339958700628
0,IWANT,896,978,24.489636188111987
0,IWANT,739,978,26.531555729134958
0,IWANT,368,978,30.762837428552878
0,IWANT,222,978,32.10402609898233
0,IWANT,801,978,32.911629096546385
0,IWANT,445,978,35.93010374463297
0,IWANT,457,978,38.43553766264405
0,IWANT,752,978,38.539897962012944
0,IWANT,817,978,39.00128441303688
0,IWANT,396,978,46.186332552589356
0,IWANT,390,978,55.340481233484105
0,IWANT,730,978,58.11783645226029
0,IWANT,105,978,62.61464251351244
0,IWANT,494,978,71.95213166956282
0,IWANT,149,978,77.34425542193246
0,IWANT,741,978,92.8581228962674
0,IHAVE,739,943,95.76050670483106
0,IHAVE,739,457,95.76050670483106
0,IHAVE,739,152,95.76050670483106
0,IHAVE,739,83,95.76050670483106
0,IHAVE,739,299,95.76050670483106
0,IHAVE,739,708,95.76050670483106
0,IHAVE,739,468,95.76050670483106
0,IHAVE,739,82,95.76050670483106
0,IHAVE,739,836,95.76050670483106
0,IHAVE,739,707,95.76050670483106
0,IHAVE,739,63,95.76050670483106
0,IHAVE,739,476,95.76050670483106
0,IHAVE,739,211,95.76050670483106
0,IHAVE,445,49,96.45872710098558
0,IHAVE,445,516,96.45872710098558
0,IWANT,89,978,98.02349008530935
0,IHAVE,457,152,103.177010776316
0,IHAVE,457,31,103.177010776316
0,IHAVE,457,739,103.177010776316
0,IHAVE,457,943,103.177010776316
0,IHAVE,457,772,103.177010776316
0,IHAVE,457,299,103.177010776316
0,IHAVE,457,3,103.177010776316
0,IHAVE,457,468,103.177010776316
0,IHAVE,457,873,103.177010776316
0,IHAVE,457,926,103.177010776316
0,IHAVE,457,742,103.177010776316
0,IHAVE,457,391,103.177010776316
0,IHAVE,457,93,103.177010776316
0,IHAVE,457,912,103.177010776316
0,IWANT,299,739,107.69639680713757
0,IWANT,736,978,109.29847249338742
0,IWANT,707,739,116.83958153601161
0,IWANT,516,445,118.19658043106628
0,IHAVE,390,551,119.36044332252852
0,IHAVE,390,441,119.36044332252852
0,IHAVE,390,176,119.36044332252852
0,IHAVE,390,692,119.36044332252852
0,IHAVE,390,361,119.36044332252852
0,IHAVE,390,351,119.36044332252852
0,IHAVE,390,665,119.36044332252852
0,IHAVE,390,421,119.36044332252852
0,IHAVE,390,701,119.36044332252852
0,IHAVE,390,159,119.36044332252852
0,IHAVE,390,919,119.36044332252852
0,IHAVE,390,861,119.36044332252852
0,IHAVE,390,521,119.36044332252852
0,IHAVE,390,179,119.36044332252852
0,IHAVE,390,631,119.36044332252852
0,IHAVE,390,894,119.36044332252852
0,IWANT,332,978,124.88060108871359
0,IWANT,468,457,125.85507891337546
0,IWANT,943,457,126.05776180312745
0,IWANT,943,739,126.84356848253663
0,IWANT,708,739,128.45617219476804
0,IWANT,873,457,128.83854776730547
0,IHAVE,516,49,130.62932321692924
0,IHAVE,516,445,130.62932321692924
0,IWANT,83,739,131.21695846610814
0,IHAVE,896,326,133.516148489233
0,IHAVE,896,529,133.516148489233
0,IHAVE,896,367,133.516148489233
0,IHAVE,896,432,133.516148489233
0,IHAVE,896,56,133.516148489233
0,IHAVE,896,437,133.516148489233
0,IHAVE,896,810,133.516148489233
0,IHAVE,896,948,133.516148489233
0,IHAVE,896,334,133.516148489233
0,IHAVE,896,541,133.516148489233
0,IHAVE,896,201,133.516148489233
0,IHAVE,896,308,133.516148489233
0,IHAVE,896,866,133.516148489233
0,IHAVE,896,903,133.516148489233
0,IHAVE,105,886,134.46581644227712
0,IHAVE,105,222,134.46581644227712
0,IHAVE,105,343,134.46581644227712
0,IHAVE,105,626,134.46581644227712
0,IWANT,299,457,138.1929701060851
0,IWANT,919,390,138.22253572367157
0,IWANT,49,445,138.8023137071741
0,IWANT,49,516,140.48340320276574
0,IWANT,912,457,141.10008847702102
0,IWANT,82,739,142.50076406665082
0,IWANT,665,390,145.14236929668965
0,IWANT,626,105,145.46376486970414
0,IWANT,772,457,146.21663220439768
0,IHAVE,89,774,146.43640549419447
0,IHAVE,89,606,146.43640549419447
0,IHAVE,89,261,146.43640549419447
0,IHAVE,89,710,146.43640549419447
0,IHAVE,89,956,146.43640549419447
0,IHAVE,89,335,146.43640549419447
0,IHAVE,89,428,146.43640549419447
0,IHAVE,89,395,146.43640549419447
0,IHAVE,89,845,146.43640549419447
0,IHAVE,89,163,146.43640549419447
0,IHAVE,89,884,146.43640549419447
0,IHAVE,89,515,146.43640549419447
0,IHAVE,89,16,146.43640549419447
0,IHAVE,89,549,146.43640549419447
0,IHAVE,89,539,146.43640549419447
0,IHAVE,89,982,146.43640549419447
0,IWANT,211,739,147.25576010163147
0,IWANT,866,896,147.84543016920128
0,IWANT,308,896,148.26532976365777
0,IWANT,631,390,149.02382121824417
0,IWANT,31,457,149.19371165680087
0,IWANT,457,739,149.95158918615175
0,IWANT,810,896,151.3431810454922
0,IHAVE,149,469,151.61139417160783
0,IHAVE,149,808,151.61139417160783
0,IHAVE,149,6,151.61139417160783
0,IHAVE,149,804,151.61139417160783
0,IHAVE,149,296,151.61139417160783
0,IHAVE,149,136,151.61139417160783
0,IHAVE,149,153,151.61139417160783
0,IHAVE,149,278,151.61139417160783
0,IHAVE,149,114,151.61139417160783
0,IHAVE,149,130,151.61139417160783
0,IHAVE,149,906,151.61139417160783
0,IHAVE,149,294,151.61139417160783
0,IHAVE,149,745,151.61139417160783
0,IHAVE,149,674,151.61139417160783
0,IWANT,63,739,151.8439582098072
0,IWANT,441,390,151.87571911012355
0,IHAVE,817,763,153.37762520233832
0,IHAVE,817,46,153.37762520233832
0,IHAVE,817,36,153.37762520233832
0,IHAVE,817,238,153.37762520233832
0,IHAVE,817,447,153.37762520233832
0,IWANT,159,390,155.3244659166286
0,IWANT,836,739,155.86214887402647
0,IWANT,886,105,156.11219580217207
0,IHAVE,730,417,157.52889240479288
0,IHAVE,730,134,157.52889240479288
0,IHAVE,730,597,157.52889240479288
0,IHAVE,730,889,157.52889240479288
0,IHAVE,730,221,157.52889240479288
0,IHAVE,730,530,157.52889240479288
0,IHAVE,730,323,157.52889240479288
0,IHAVE,730,578,157.52889240479288
0,IHAVE,730,30,157.52889240479288
0,IHAVE,730,728,157.52889240479288
0,IHAVE,730,622,157.52889240479288
0,IHAVE,730,543,157.52889240479288
0,IHAVE,730,982,157.52889240479288
0,IHAVE,730,592,157.52889240479288
0,IHAVE,730,554,157.52889240479288
0,IHAVE,730,508,157.52889240479288
0,IHAVE,730,981,157.52889240479288
0,IHAVE,730,473,157.52889240479288
0,IHAVE,730,647,157.52889240479288
0,IHAVE,730,820,157.52889240479288
0,IWANT,774,89,157.72911370940756
0,IWANT,130,149,157.83898770795474
0,IWANT,222,105,160.12287525237753
0,IWANT,153,149,160.2196940752221
0,IWANT,361,390,161.18592941574684
0,IWANT,551,390,162.17726500069958
0,IWANT,845,89,163.65465827346455
0,IHAVE,368,822,165.23407575011635
0,IHAVE,368,58,165.23407575011635
0,IHAVE,368,887,165.23407575011635
0,IHAVE,368,611,165.23407575011635
0,IHAVE,368,674,165.23407575011635
0,IHAVE,368,57,165.23407575011635
0,IHAVE,368,111,165.23407575011635
0,IHAVE,368,601,165.23407575011635
0,IHAVE,368,745,165.23407575011635
0,IHAVE,368,44,165.23407575011635
0,IHAVE,368,155,165.23407575011635
0,IWANT,437,896,165.4156620366697
0,IWANT,417,730,166.5448073958876
0,IWANT,543,730,166.67386043623713
0,IWANT,93,457,166.93663630114588
0,IWANT,326,896,167.52827491304626
0,IWANT,541,896,168.27673474198352
0,IWANT,391,457,171.10182021001418
0,IWANT,592,730,171.70655976993845
0,IWANT,549,89,172.77397506225418
0,IWANT,606,89,173.1645996065488
0,IHAVE,736,435,173.20332455691397
0,IHAVE,736,36,173.20332455691397
0,IHAVE,736,817,173.20332455691397
0,IHAVE,736,763,173.20332455691397
0,IHAVE,736,447,173.20332455691397
0,IHAVE,736,416,173.20332455691397
0,IWANT,521,390,173.2899691245613
0,IWANT,30,730,173.32678341793653
0,IHAVE,494,875,173.47700506059027
0,IHAVE,494,652,173.47700506059027
0,IHAVE,494,19,173.47700506059027
0,IHAVE,494,650,173.47700506059027
0,IHAVE,494,860,173.47700506059027
0,IHAVE,494,878,173.47700506059027
0,IHAVE,494,604,173.47700506059027
0,IHAVE,494,973,173.47700506059027
0,IHAVE,494,749,173.47700506059027
0,IWANT,903,896,173.8074700590408
