block_id,node_id,time_ms
0,0,0
0,12,256.3563564112789
0,17,277.38912397621755
0,5,295.3139034376557
0,1,296.41001795701817
0,14,298.5464593297716
0,4,305.8042038034087
0,19,323.24413450714906
0,32,339.35446359583693
0,8,351.9086099940385
0,9,353.658097673047
0,28,369.842444916886
0,41,392.73336418024627
0,43,397.1407708214331
0,21,399.69608012327876
0,33,399.8052963633762
0,16,405.19440951036574
0,13,416.6791248826204
0,49,416.71583072758295
0,29,418.51235638261215
0,42,419.15594422524464
0,26,424.53794561083737
0,35,426.8024628013276
0,18,429.76018966133614
0,6,429.9487113922263
0,25,431.48797025066807
0,23,434.12712280255045
0,45,440.242824493614
0,3,446.33810708237075
0,30,446.94777956220247
0,15,453.4354076230956
0,27,453.88548806655524
0,11,456.3521649287791
0,36,456.83235360976846
0,24,457.9839599542233
0,22,465.3665460161234
0,47,469.2433061154441
0,2,477.567597855254
0,37,480.4232545145895
0,20,483.37588009501906
0,40,487.55677418280067
0,48,506.793234336605
0,10,511.72507035412247
0,38,547.6175164085355
0,7,575.0904335183909
0,31,582.6929620296861
0,44,614.6861244217022
0,46,657.8060406600209
0,34,692.9155271414627
0,39,805.9340050991734
