block_id,shard_count
0,81504
1,84224
2,82688
3,84224
4,82272
5,81024
6,78496
7,83328
8,81632
10,82656
9,79104
11,80448
12,76192
13,80832
14,80832
15,77696
16,80288
17,74944
18,78304
19,78176
20,79456
21,76000
22,79136
23,80640
24,77920
25,73792
27,77120
26,78912
29,80000
28,78240
30,74336
32,73760
31,75040
33,76640
34,74240
36,75840
37,75840
35,74720
38,74528
40,77664
41,77856
39,79680
42,72640
43,74464
44,73056
45,73888
46,76352
47,75840
48,76672
49,70304
51,70688
50,73024
53,72224
52,75872
54,72352
55,72928
56,71968
57,72480
58,73216
59,73152
60,73504
62,72448
61,70144
63,74624
