block_id,shard_count
0,169812
1,164124
2,175176
3,165204
4,169128
5,168768
6,169776
7,177192
8,180360
9,167004
10,170604
11,175860
12,176472
13,180288
14,171576
15,180648
16,176580
17,186444
18,177192
19,174816
20,188460
21,188316
22,188604
23,177516
24,188028
25,181764
26,187992
27,197532
28,184428
29,184068
30,177264
31,175212
32,190368
33,184572
34,189360
35,179604
36,187812
37,195804
38,195732
39,184032
40,187272
41,181152
42,188496
43,185724
44,189576
45,176292
46,191772
47,179388
48,183600
49,200376
50,193752
51,186192
52,185112
53,173160
54,186156
55,179604
56,176220
57,192888
58,173556
59,185616
60,187056
61,183816
62,187560
63,177912
