block_id,shard_count
0,174960
1,161604
2,172404
3,161568
4,178200
5,173556
6,172224
7,172584
8,173952
9,159588
10,165420
11,181044
12,186516
13,183780
14,180612
15,186840
16,181692
17,177480
18,187488
19,181692
20,187992
21,178956
22,183708
23,176220
24,185904
25,177516
26,183852
27,186804
28,174924
29,186480
30,181980
31,186264
32,184248
33,183924
34,185184
35,181944
36,187380
37,182736
38,193752
39,181116
40,185832
41,185868
42,179244
43,174204
44,194364
45,199872
46,177588
47,188028
48,174024
49,190656
50,192276
51,193536
52,187236
53,178236
54,178020
55,189864
56,193032
57,186732
58,182880
59,180180
60,188856
61,183492
62,181980
63,187740
