block_id,shard_count
0,161928
1,165780
2,166860
3,170352
4,174384
5,172332
6,174528
7,181764
8,177156
9,179460
10,178344
11,176616
12,192852
13,181872
14,164052
15,183852
16,187380
17,180036
18,180684
19,179856
20,188316
21,188604
22,186444
23,188604
24,172548
25,178776
26,183492
27,184572
28,191520
29,188964
30,191988
31,182268
32,194256
33,190584
34,191484
35,177732
36,176040
37,187992
38,189900
39,188280
40,187884
41,186228
42,182556
43,184968
44,185652
45,175248
46,188784
47,179856
48,191520
49,177948
50,187452
51,189036
52,178776
53,191844
54,184860
55,194112
56,183168
57,191736
58,186948
59,189540
60,175680
61,187020
62,182340
63,182700
