block_id,shard_count
0,125792
1,125760
2,125760
3,125760
4,125760
5,125792
6,125792
7,125824
8,125792
9,125760
10,125792
11,125792
12,125760
13,125760
14,125760
15,125792
16,125760
17,125760
18,125792
19,125760
20,125792
21,125760
22,125760
23,125792
24,125824
25,125792
26,125760
27,125760
28,125792
29,125760
30,125760
31,125760
32,125728
33,125760
34,125952
35,125792
36,125792
37,125792
38,125760
39,125760
40,125792
41,125792
42,125728
43,125760
44,125792
45,125760
46,125728
47,125728
48,125760
49,125792
50,125792
51,125792
52,125792
53,125792
54,125760
55,125760
56,125888
57,125792
58,125760
59,125760
60,125792
61,125792
62,125792
63,125760
