block_id,shard_count
0,83200
1,84384
2,85632
3,81568
4,84000
5,78720
6,78688
7,82272
8,80576
9,78368
10,81568
11,77568
12,79488
13,82464
14,78080
15,79264
16,78880
17,80800
18,77280
20,74656
19,77792
21,78272
22,77248
23,79328
24,76288
25,79200
26,77632
27,73760
28,78368
29,74752
30,80896
31,72992
32,74592
33,75712
34,75168
35,75392
36,73632
37,71456
38,74848
39,76448
40,76800
41,75744
42,75968
43,74592
44,76992
45,75328
46,73152
47,78016
48,70848
50,74944
51,73248
52,74304
49,69792
53,74560
54,74848
55,74240
56,74528
57,72416
58,72736
59,76896
60,72352
61,73056
62,71232
63,71008
