block_id,shard_count
0,83840
1,82784
2,79584
3,79904
4,83744
5,83776
6,83584
7,79776
8,81408
9,79776
10,74944
11,74944
12,81632
13,81024
14,81184
15,77632
17,77440
16,80384
18,77952
19,77344
20,76224
21,77120
22,77600
23,81504
24,76896
26,80832
25,74688
28,75744
27,77344
29,76512
30,74848
31,75296
32,73856
33,77088
34,78272
35,76416
36,73888
37,74464
38,77440
39,74816
40,75648
41,78592
42,75872
43,75968
44,76096
45,73344
46,73664
48,74880
47,73120
50,70144
51,72128
52,73440
49,74528
53,73792
54,73312
55,76544
56,72320
57,72672
58,71488
59,75552
60,75200
61,67296
62,75680
63,73408
