block_id,shard_count
0,171288
1,176040
2,173808
3,166644
4,170856
5,169164
6,175572
7,184572
8,168300
9,182844
10,180972
11,187344
12,188676
13,177912
14,195192
15,187632
16,171468
17,192636
18,186084
19,181404
20,186408
21,179496
22,177804
23,187884
24,184140
25,186624
26,179172
27,181620
28,174276
29,183708
30,201528
31,179892
32,185364
33,185616
34,188964
35,180072
36,183096
37,189864
38,190044
39,187308
40,181044
41,182088
42,183528
43,180864
44,177876
45,180252
46,174492
47,187920
48,198180
49,181368
50,181692
51,179136
52,187236
53,184500
54,187236
55,178236
56,191880
57,191088
58,178848
59,189432
60,199908
61,182448
62,179568
63,181728
