block_id,shard_count
0,173880
1,170280
2,168372
3,172980
4,171792
5,169776
6,174636
7,170208
8,171684
9,164304
10,175500
11,180396
12,183528
13,174744
14,171072
15,179244
16,183996
17,182952
18,177156
19,177408
20,180972
21,177048
22,181872
23,183672
24,171036
25,189252
26,176796
27,190224
28,175032
29,186300
30,181188
31,178344
32,175500
33,186048
34,195372
35,173520
36,195696
37,180684
38,177948
39,181728
40,179892
41,180900
42,181080
43,187668
44,182916
45,181008
46,182736
47,189936
48,178488
49,199116
50,177480
51,184392
52,178344
53,165276
54,181764
55,181512
56,177732
57,193716
58,180000
59,171756
60,172008
61,177912
62,175896
63,175464
