block_id,shard_count
0,125024
1,124960
2,124992
3,124896
4,125024
5,125024
6,125024
7,124928
8,124960
9,124992
10,124928
11,124896
12,124928
13,124928
14,124960
15,124960
16,124960
17,124928
18,124896
19,124832
20,124928
21,124928
22,124960
23,124928
24,125088
25,124960
26,124896
27,124960
28,124960
29,124992
30,124896
31,124992
32,124896
33,124832
34,124960
35,125024
36,124896
37,124960
38,124928
39,124960
40,124992
41,124960
42,124960
43,124960
44,124896
45,124960
46,124896
47,124960
48,125024
49,124960
50,124992
51,124928
52,125024
53,124928
54,124896
55,124992
56,124896
57,124960
58,125024
59,124928
60,124928
61,124928
62,124960
63,124960
