block_id,node_id,time_ms,inject_time_ms
0,637,0,0
1,261,62.5,62.5
0,314,91.25871230195067,0
0,926,103.88378730436855,0
0,253,104.63400694662259,0
0,937,106.69001257373954,0
0,345,109.47105083623892,0
0,315,110.56769462549708,0
0,777,112.25025851923712,0
0,336,113.74868674669771,0
0,532,121.34909301457306,0
2,759,125.0,125.0
0,450,126.10622746956206,0
0,623,131.92927831364702,0
0,597,133.94500788892452,0
0,453,134.29308651621386,0
0,729,139.70666076726792,0
0,227,141.01729875162255,0
0,888,141.21270094491888,0
1,502,141.81590268646556,62.5
0,961,142.61130885358494,0
0,19,144.0405779527931,0
0,809,145.4367212050666,0
0,762,147.1290095890844,0
0,199,149.35474326014398,0
0,326,149.91197715430357,0
0,771,150.19872005656333,0
0,734,151.33100769386027,0
0,830,153.81703446409878,0
0,824,160.8665995746752,0
0,607,163.82184492114885,0
1,239,168.00574150666006,62.5
1,20,170.48061758048783,62.5
1,36,170.93996387170404,62.5
0,895,173.00396943637915,0
1,436,173.07226615711767,62.5
0,574,175.9298556568491,0
1,989,178.61701524620878,62.5
1,887,178.84985595577004,62.5
3,367,187.5,187.5
1,194,190.13557630955904,62.5
1,214,190.74389419090247,62.5
0,172,191.67958353411677,0
1,648,192.11976360005474,62.5
1,469,193.91443338919242,62.5
1,6,194.40521168277448,62.5
0,644,195.73811689028423,0
1,460,197.91381825457694,62.5
1,329,198.86797023656788,62.5
1,634,200.43142086545612,62.5
1,459,200.5808868368199,62.5
1,796,203.07808171984402,62.5
1,437,209.10465638292993,62.5
1,228,215.37265137005426,62.5
1,216,215.9430782474082,62.5
2,174,216.0043411637813,125.0
1,255,217.51469938714752,62.5
1,824,217.5166019664566,62.5
0,124,220.47473787439864,0
2,235,220.58581789510293,125.0
1,250,226.1634975079115,62.5
0,86,226.722746110496,0
0,553,231.22695197299694,0
0,16,232.34336231512447,0
2,893,232.5972639564555,125.0
0,902,235.60587065913782,0
1,144,240.89382738584186,62.5
0,894,241.17339123943492,0
2,532,242.05744390005174,125.0
0,563,242.82121999661373,0
2,498,243.0390202143926,125.0
2,922,243.33852590113707,125.0
1,808,244.54147380614975,62.5
2,121,247.6742300643289,125.0
0,619,247.8394989497229,0
4,814,250.0,250.0
1,46,250.3741618593404,62.5
2,875,250.94007827091417,125.0
1,168,252.16170901681932,62.5
2,766,256.6935069560248,125.0
2,16,257.2063295849734,125.0
2,326,257.39477068045346,125.0
2,969,259.01611524250967,125.0
0,845,260.2893191230275,0
2,254,260.8679017596403,125.0
2,845,263.46682671924714,125.0
1,631,265.44855403558995,62.5
0,46,266.39876216330106,0
0,374,267.5703364387391,0
3,903,267.5812438299016,187.5
0,763,268.90789164456726,0
2,718,269.72447695889645,125.0
0,121,272.84271629418186,0
2,64,274.40766039273683,125.0
0,256,274.5472993159035,0
3,585,275.4580107313586,187.5
2,961,276.6458600450079,125.0
0,293,277.1484476977281,0
1,123,277.2894055121346,62.5
2,920,277.3171590896253,125.0
2,539,278.8308685875233,125.0
0,116,279.03851358153815,0
2,167,279.8081174973695,125.0
2,674,282.1452856557244,125.0
0,112,282.29322014798254,0
2,395,282.44931436714626,125.0
0,433,285.0019403104124,0
2,282,285.3329721718459,125.0
2,859,287.4102530046067,125.0
0,120,289.3784833024133,0
2,223,290.9914188631598,125.0
3,31,291.8810715853196,187.5
0,976,292.098822588178,0
1,976,294.6225664292054,62.5
3,215,294.95191288271735,187.5
2,189,296.7290244150589,125.0
0,578,296.77521732334077,0
2,998,297.34234984284666,125.0
1,488,298.2885121718081,62.5
3,152,298.30328135746345,187.5
0,223,298.8583931628168,0
3,714,300.4843381860922,187.5
1,546,301.06599696996625,62.5
0,892,302.32993805427833,0
3,115,303.0703578462098,187.5
1,29,303.12135543316947,62.5
3,918,303.18020015573956,187.5
1,290,304.0923971777285,62.5
1,18,304.40210123274636,62.5
2,20,304.51816248047,125.0
0,958,304.77747930814127,0
0,463,305.60118016620197,0
0,48,306.39646584864084,0
3,829,306.4514675845679,187.5
0,988,306.8645308500553,0
1,361,307.78643635161745,62.5
1,897,307.8528298501401,62.5
1,632,308.4712684276266,62.5
0,407,309.3228587531089,0
1,422,311.2435947669053,62.5
2,360,311.3802346600671,125.0
0,102,311.62374265482447,0
0,254,312.23568085042064,0
5,707,312.5,312.5
1,201,313.41315934997266,62.5
3,809,313.864994151723,187.5
3,919,314.3488674528945,187.5
0,317,314.5740909336521,0
1,11,315.8574081408541,62.5
1,181,316.877442712889,62.5
3,21,317.5756913279853,187.5
0,759,318.80933617615847,0
0,907,319.7217734734817,0
0,859,319.95687011268774,0
0,51,320.17721221993656,0
3,519,320.3986058866536,187.5
3,325,320.8739565933088,187.5
1,103,321.26329180656785,62.5
1,19,321.4360325743613,62.5
3,786,321.74244057036526,187.5
0,698,321.8291188274218,0
1,539,322.094984684127,62.5
1,805,322.40925047305086,62.5
0,445,322.47948769403627,0
2,68,323.2504816831227,125.0
3,683,323.35101068000955,187.5
3,938,323.4750648416788,187.5
1,348,323.5305106592692,62.5
0,283,323.87267295143204,0
1,765,324.22600340841063,62.5
1,559,324.421648729766,62.5
3,362,324.51502940674305,187.5
1,922,324.6540312994879,62.5
0,555,324.8202165947896,0
0,190,325.67743432813427,0
1,630,326.15562114070997,62.5
1,347,326.28669063836963,62.5
3,983,327.0512046254431,187.5
0,893,327.504282260849,0
0,603,327.7143706322728,0
0,45,328.76875111445395,0
0,263,329.6079415320744,0
0,565,329.67079777968934,0
1,352,329.7338322831566,62.5
3,854,330.13058843689316,187.5
3,863,330.6637019804861,187.5
0,738,330.6771558242109,0
0,848,331.11899461309895,0
2,67,331.15837554042054,125.0
0,742,331.34533837772574,0
4,504,331.7310387833393,250.0
1,664,331.8978088596366,62.5
0,387,331.98056775900136,0
1,969,332.60390315975354,62.5
0,507,332.70719560174035,0
0,360,332.77373823067103,0
1,416,333.8222399038511,62.5
0,396,334.58683289085775,0
2,42,334.6881030423019,125.0
0,429,335.4295887974484,0
2,99,335.56714683249413,125.0
0,269,335.68496949400253,0
1,240,336.9773443552707,62.5
0,521,337.1215483030729,0
0,167,337.2739128191244,0
1,838,338.5431678983788,62.5
1,496,338.6969858087665,62.5
1,31,338.77392304570037,62.5
0,922,338.92538071382705,0
1,685,340.34122207350447,62.5
0,278,340.3498328721048,0
1,860,341.04585729074773,62.5
1,358,341.88022229774845,62.5
1,890,342.3441091158605,62.5
3,313,342.3525317852,187.5
3,869,343.3460451712492,187.5
2,234,344.44109327004156,125.0
1,853,344.51684041299296,62.5
3,47,345.5323014741132,187.5
0,765,345.61396846806593,0
3,401,345.61946030222146,187.5
0,58,345.72792393350653,0
4,436,345.8304134548095,250.0
0,159,346.71274352194797,0
0,419,346.982226810463,0
1,197,347.3309760858249,62.5
0,72,347.53708666642086,0
1,869,348.0029538345854,62.5
0,994,348.0881199246778,0
1,998,348.39691383735226,62.5
2,930,349.5613414878297,125.0
0,189,350.3714834065548,0
2,112,350.5297691495705,125.0
2,755,350.5521768917844,125.0
1,538,351.4807620246307,62.5
1,970,352.4608463664135,62.5
2,848,352.82137386762395,125.0
0,986,353.0658932352932,0
1,193,353.1530934406753,62.5
1,252,353.3954596678083,62.5
3,723,353.42828954073866,187.5
0,439,353.4440498356146,0
3,722,354.27296621795006,187.5
4,18,354.57512957441764,250.0
1,645,355.1992166177131,62.5
0,137,355.53241686666235,0
0,128,355.72727893287833,0
2,654,356.4637749981647,125.0
0,826,356.5425718180837,0
1,196,356.6262121414435,62.5
2,513,357.3669303699814,125.0
1,562,357.8705993407459,62.5
0,718,357.93669910248667,0
1,850,358.0282323726585,62.5
0,675,359.55912472283865,0
1,356,359.62469382862605,62.5
1,503,360.04834228917946,62.5
0,323,360.4479673679429,0
0,208,360.59945381550506,0
1,827,360.65262602127774,62.5
1,700,360.76289749150385,62.5
1,642,361.4847167228993,62.5
3,932,361.73965304602325,187.5
2,771,361.88623141365184,125.0
1,366,362.37715389879395,62.5
3,461,363.0919304398719,187.5
4,458,363.2081629446245,250.0
1,518,363.5959545755842,62.5
0,861,364.45150489843763,0
0,527,364.46342737562486,0
0,25,364.46784294707913,0
1,684,364.63939356603976,62.5
2,907,365.18373743828283,125.0
1,69,365.9046070788115,62.5
1,961,365.915686180555,62.5
1,636,366.04622719888533,62.5
1,712,366.1493331112331,62.5
1,73,366.3679873430096,62.5
1,663,366.6883329300104,62.5
0,506,367.0645539298623,0
3,228,367.60952909701797,187.5
3,752,368.09200984247894,187.5
1,605,368.2363791636883,62.5
0,612,368.31532217039575,0
1,188,368.76692593430323,62.5
4,127,368.9794738608129,250.0
0,513,370.05890381398024,0
0,755,370.253561916579,0
0,306,371.35094778634345,0
4,165,371.93982997457454,250.0
3,804,372.923041860097,187.5
1,303,374.3488023615677,62.5
0,650,374.84716880562974,0
6,965,375.0,375.0
3,782,375.27397770838644,187.5
1,259,375.7069522992066,62.5
4,261,376.4615428214321,250.0
4,936,376.50002003345764,250.0
1,702,376.5190170276079,62.5
1,683,376.59692670080017,62.5
0,998,377.0967541664786,0
4,204,378.1121976000584,250.0
0,790,378.2586246746614,0
4,923,378.43415879068937,250.0
1,287,378.5113510117368,62.5
2,894,378.52957307715684,125.0
1,30,378.6748982569347,62.5
4,162,378.77401025975666,250.0
1,809,379.2366915438992,62.5
2,374,379.5850379070739,125.0
0,377,379.7216588598173,0
0,447,380.45406735249077,0
0,737,380.83263424069395,0
0,264,381.33514683053,0
0,324,382.20300569252316,0
0,515,382.624040676277,0
2,409,383.0295210111273,125.0
2,838,383.23675936659987,125.0
3,539,384.226386496892,187.5
0,42,384.5489102593656,0
1,198,385.4189960106057,62.5
0,900,386.0390179552731,0
1,757,386.31091251109467,62.5
2,293,386.53266151383343,125.0
4,273,386.9156304973315,250.0
0,660,387.5829711582952,0
2,316,388.1621423906819,125.0
1,147,389.45844517271064,62.5
2,650,389.6998294707593,125.0
1,406,389.8636015875511,62.5
0,413,390.9203486870383,0
1,331,391.25090358985136,62.5
1,35,391.26525543803956,62.5
2,827,392.20930811648054,125.0
0,694,392.3863489937102,0
4,207,392.70524589187346,250.0
0,987,393.3019593632151,0
4,86,393.3871093715084,250.0
3,882,393.5654630176761,187.5
4,739,393.70297699004624,250.0
2,131,393.8166629847142,125.0
0,568,394.0266014584607,0
1,811,394.3128527144286,62.5
2,709,394.971246008913,125.0
0,288,395.12247275868094,0
1,482,395.14566752092617,62.5
0,235,395.3006951032911,0
1,622,395.38820658639554,62.5
3,346,395.86859451324165,187.5
1,877,396.8786298523711,62.5
4,60,397.5301953307878,250.0
1,588,397.9776515071675,62.5
1,207,398.32539163045686,62.5
1,667,398.49811895328105,62.5
0,38,398.69486053777723,0
2,493,398.70001045231106,125.0
1,806,399.0718979057773,62.5
0,428,399.7330079781611,0
0,67,400.01184089754867,0
1,982,400.1369062277393,62.5
0,586,400.4543722732379,0
2,681,400.72225025580235,125.0
2,789,400.91721810060454,125.0
1,780,400.91912961798926,62.5
3,501,401.6717854068735,187.5
1,820,401.73086218259874,62.5
5,511,401.75112421568355,312.5
4,296,401.7969594777137,250.0
3,199,402.03211527113376,187.5
0,576,403.2988307227577,0
2,317,403.38235825205936,125.0
2,240,404.26150545002633,125.0
3,341,404.53525120747787,187.5
3,388,404.6048132752131,187.5
0,721,404.90842350275653,0
4,276,405.1083558117526,250.0
2,600,405.3070191012823,125.0
1,740,405.3714076354327,62.5
2,310,405.62847501574856,125.0
2,187,406.16008635049286,125.0
2,649,406.30251795539834,125.0
1,335,406.5571099746453,62.5
0,402,406.66702757943256,0
2,455,406.8797644027836,125.0
3,946,407.8653004550665,187.5
2,571,408.01332016727446,125.0
2,221,408.41154977915954,125.0
4,181,408.71169507239574,250.0
1,51,408.73960894146995,62.5
2,260,409.553404281968,125.0
2,783,409.62789326842403,125.0
1,149,410.0940363041394,62.5
0,346,410.6947704992757,0
0,398,410.8418124594526,0
1,753,411.0644861415874,62.5
3,402,411.3667688292718,187.5
2,211,411.4813668198922,125.0
2,58,412.0169148855309,125.0
0,378,412.3749987627358,0
0,422,413.15335795299364,0
2,760,413.1627081621533,125.0
5,369,413.2483364935869,312.5
1,162,413.33419200144937,62.5
2,208,413.5343149806868,125.0
3,657,413.8189073279746,187.5
3,754,413.87415192742117,187.5
1,130,414.33453589859494,62.5
1,101,414.4391501977982,62.5
0,435,414.5168837321437,0
3,154,415.0527282798732,187.5
1,15,415.0888039093376,62.5
1,95,415.4924324451088,62.5
1,357,415.63331701437454,62.5
2,628,416.33123592532274,125.0
2,258,416.42477928535527,125.0
3,439,416.4635018144596,187.5
3,768,416.8369169456926,187.5
2,332,417.0816136443436,125.0
3,897,417.3066841055837,187.5
2,987,417.421563799091,125.0
5,349,417.5235412278029,312.5
2,451,417.6855046096783,125.0
3,442,417.75316640213435,187.5
3,570,418.2805469361707,187.5
2,186,419.23764901114254,125.0
1,100,419.3704518823797,62.5
0,184,419.3775879847362,0
2,194,419.52402142888934,125.0
5,965,419.5485862897748,312.5
5,529,419.8037975045994,312.5
0,152,419.9603787928347,0
1,174,420.13077307522985,62.5
4,176,420.19943966856334,250.0
2,433,420.24053185622364,125.0
0,668,420.257323911482,0
1,739,420.42267081435864,62.5
4,562,420.51756887192414,250.0
2,566,420.5411378464071,125.0
0,143,420.6040851283117,0
1,600,420.86226864772493,62.5
1,694,421.13926400683147,62.5
1,920,421.32054649482495,62.5
3,847,421.3503405371951,187.5
2,738,421.88401262417256,125.0
0,851,421.9634544008706,0
1,497,422.3181181170911,62.5
2,551,422.3854944768551,125.0
2,588,423.15150800065584,125.0
0,260,423.68548551173984,0
2,241,424.03122733702963,125.0
3,49,425.2214952468169,187.5
1,247,425.23533353395885,62.5
2,511,425.9518892375297,125.0
3,70,426.14678616143823,187.5
1,235,426.17147019225996,62.5
3,489,426.21759328255325,187.5
2,586,426.2399517957199,125.0
1,386,426.44562748187695,62.5
1,43,426.5685696437469,62.5
1,839,426.8099165369854,62.5
4,384,427.0689518922613,250.0
1,317,427.52105296345934,62.5
3,516,427.7875549356532,187.5
0,368,427.82090850076673,0
2,861,428.1726638997559,125.0
0,620,428.1973473829894,0
3,244,428.633747772763,187.5
2,895,428.7047652369924,125.0
2,237,429.25167420986264,125.0
2,841,429.3660000269256,125.0
5,146,430.0244677981416,312.5
3,51,430.44947395913505,187.5
1,52,430.5164138739637,62.5
0,996,430.6492912160553,0
0,940,430.8924633046471,0
1,77,430.9528126231695,62.5
2,128,430.99130640651947,125.0
0,591,431.25458197884313,0
0,93,431.3720704939534,0
3,72,431.58704541726667,187.5
1,603,431.73898284898013,62.5
2,184,431.7767300131456,125.0
3,323,431.82195166552424,187.5
2,172,431.94921589560295,125.0
3,867,432.01959900457985,187.5
2,819,432.02549048285124,125.0
3,573,432.0728936510627,187.5
2,259,432.1992790959738,125.0
3,730,432.31940786317847,187.5
2,431,432.4689356831292,125.0
1,514,432.6891968234921,62.5
1,345,432.76217541499267,62.5
1,12,432.8583471370982,62.5
1,378,433.32767551818483,62.5
0,969,433.4404369433563,0
0,841,433.75621561658244,0
0,252,433.8191485658247,0
1,155,433.8898511745677,62.5
2,136,433.93028160067,125.0
