block_id,node_id,time_ms,inject_time_ms
0,978,0,0
1,883,31.25,31.25
2,970,62.5,62.5
3,869,93.75,93.75
0,741,104.65864630636213,0
0,49,106.14099700959275,0
0,343,107.55876648219713,0
0,801,109.60305222818967,0
0,992,111.87145233300463,0
0,817,113.38394467991985,0
0,149,114.18422190010752,0
1,13,119.4760198999662,31.25
0,730,122.5521600739185,0
0,29,124.25921991908103,0
4,57,125.0,125.0
0,849,125.36102041804675,0
0,516,126.0823382714072,0
1,338,127.1635269457139,31.25
1,632,131.21425803510382,31.25
0,222,131.33576840170778,0
0,445,132.52124447981112,0
1,658,132.57528680994272,31.25
1,405,135.71754170036058,31.25
1,38,137.78689963203493,31.25
0,736,137.98197121108745,0
0,420,140.7229941142014,0
0,523,140.99633652057764,0
1,147,141.08201731287141,31.25
1,876,141.9032607573327,31.25
0,238,142.65094915476695,0
0,886,142.67751264165886,0
1,482,146.1911172918666,31.25
0,332,147.1854765296198,0
0,457,147.87832436788588,0
0,752,147.9694793321318,0
0,458,151.00151496298122,0
1,674,151.43587799097486,31.25
1,107,151.60266669283936,31.25
5,93,156.25,156.25
0,187,156.73640673906283,0
1,362,158.6106410433678,31.25
0,556,161.01052967737903,0
1,239,161.56415416189938,31.25
2,655,162.17107372010435,62.5
0,396,162.45355593997843,0
1,789,163.6941828304084,31.25
0,655,165.41673507125859,0
2,173,167.48481997711377,62.5
2,205,168.6023304982473,62.5
1,744,168.93316368540172,31.25
1,795,169.7819104284154,31.25
0,368,170.2447409774681,0
2,524,170.60038847281356,62.5
1,401,170.87143892567252,31.25
1,930,170.92388859741388,31.25
1,391,172.8640536646925,31.25
0,190,173.3534880829675,0
0,905,173.75542116854646,0
2,628,175.2795384155653,62.5
1,143,175.56033956001758,31.25
2,337,177.23103367525812,62.5
1,123,177.24348060009615,31.25
1,831,178.87267297403045,31.25
2,608,179.11133955176012,62.5
2,403,179.33393140144852,62.5
2,352,181.8583789013226,62.5
2,220,182.57234375739722,62.5
1,287,183.0109572774341,31.25
2,308,183.11802620549054,62.5
1,240,183.49861073952175,31.25
2,18,184.52271573934277,62.5
6,86,187.5,187.5
2,180,187.856406400101,62.5
1,223,188.1394664333679,31.25
1,655,188.143025271305,31.25
2,774,188.73877599186642,62.5
1,201,191.5859804923166,31.25
2,45,191.72722486828388,62.5
2,500,198.40277044653044,62.5
