block_id,shard_count
0,125568
1,125568
2,125504
3,125536
4,125536
5,125536
6,125536
7,125536
8,125568
9,125536
10,125536
11,125536
12,125632
13,125536
14,125504
15,125536
16,125568
17,125568
18,125568
19,125568
20,125568
21,125536
22,125536
23,125568
24,125536
25,125536
26,125568
27,125568
28,125504
29,125504
30,125536
31,125536
32,125568
33,125536
34,125568
35,125536
36,125504
37,125568
38,125536
39,125568
40,125536
41,125536
42,125536
43,125664
44,125568
45,125536
46,125504
47,125536
48,125536
49,125504
50,125568
51,125568
52,125568
53,125568
54,125536
55,125536
56,125536
57,125568
58,125536
59,125536
60,125536
61,125536
62,125504
63,125568
