block_id,shard_count
0,161064
1,167724
2,167616
3,167652
4,182808
5,179352
6,167076
7,177660
8,172260
9,171684
10,169668
11,175392
12,178596
13,183600
14,168588
15,177984
16,182412
17,179892
18,178596
19,182556
20,176292
21,181584
22,185760
23,189648
24,177984
25,175932
26,175860
27,186912
28,174564
29,181476
30,186876
31,181440
32,182052
33,182484
34,183024
35,185652
36,190116
37,189324
38,191304
39,179172
40,195156
41,190584
42,184860
43,187920
44,185364
45,186444
46,193644
47,186696
48,179640
49,199332
50,179712
51,187200
52,182268
53,183960
54,179100
55,177840
56,183564
57,180396
58,193788
59,183456
60,177480
61,188208
62,181296
63,183312
