block_id,shard_count
0,163440
1,159228
2,170712
3,186480
4,180540
5,163620
6,184104
7,174240
8,189144
9,168948
10,171216
11,172404
12,176904
13,169416
14,177840
15,181980
16,186768
17,186120
18,185292
19,193212
20,173808
21,193176
22,183744
23,188604
24,176688
25,182916
26,184464
27,188028
28,190152
29,186012
30,182196
31,182448
32,183564
33,178344
34,191808
35,182412
36,183564
37,183852
38,185760
39,186480
40,185400
41,192132
42,177516
43,182952
44,171612
45,184248
46,183096
47,187740
48,183888
49,187488
50,180468
51,197388
52,187920
53,177804
54,194472
55,196740
56,179964
57,186300
58,177048
59,185688
60,193392
61,185292
62,178560
63,189684
