block_id,shard_count
0,125824
1,125792
2,125728
3,125824
4,125824
5,125760
6,125824
7,125792
8,125888
9,125856
10,125760
11,125760
12,125824
13,125792
14,125824
15,125760
16,125792
17,125792
18,125792
19,125824
20,125792
21,125824
22,125856
23,125856
24,125760
25,125792
26,125760
27,125792
28,125792
29,125792
30,125760
31,125760
32,125792
33,125792
34,125824
35,125824
36,125792
37,125792
38,125792
39,125760
40,125792
41,125760
42,125824
43,125792
44,125824
45,125792
46,125760
47,125792
48,125728
49,125824
50,125792
51,125792
52,125824
53,125792
54,125760
55,125792
56,125760
57,125792
58,125792
59,125824
60,125824
61,125856
62,125792
63,125792
