block_id,shard_count
0,81312
1,84000
2,83936
3,77504
4,82016
5,80672
6,82752
7,80224
8,84096
9,80704
10,75488
11,78528
12,80608
13,82336
14,77984
15,76416
16,81088
17,78688
18,78528
19,78112
20,74048
21,76224
22,78272
23,76640
24,77344
25,77568
26,77120
27,74688
29,73248
28,76352
30,74016
31,73920
32,78720
33,74592
34,75648
35,73184
36,74464
37,73056
38,73568
39,74816
40,76192
41,73952
42,74336
43,77568
44,75072
46,73568
45,74304
47,77344
49,76576
48,72640
50,78080
51,70304
52,70720
53,72160
54,78176
55,72704
56,73792
58,71072
57,73792
59,71808
60,70624
61,72000
62,71168
63,72928
