block_id,shard_count
0,81440
1,82208
2,79968
3,85280
4,81248
5,84288
6,79936
7,82112
8,79584
9,79936
10,82592
11,80928
12,78784
13,75456
14,82976
15,80544
16,78016
17,77056
18,76800
19,81472
20,77088
21,77440
22,77664
24,76256
23,77024
25,75584
26,79200
27,76608
28,76544
29,77824
30,78368
32,76192
33,76000
31,76480
34,73568
35,75168
36,77184
37,73824
38,75360
39,79776
41,73696
40,72064
43,74432
42,72256
44,70144
45,76960
46,73824
47,73888
48,74304
49,74432
50,71648
51,77056
52,76448
53,74592
55,73856
54,73792
56,75776
57,75264
58,72832
59,75744
60,77472
61,76896
62,70848
63,74880
