block_id,shard_count
0,85024
1,84160
2,81920
3,77248
4,82144
5,80416
6,81216
7,78304
8,83328
9,79680
10,77440
12,79968
11,82912
13,76704
14,76928
15,78144
16,81760
17,76384
18,77824
19,78912
20,81280
21,78816
22,72480
23,79968
24,76032
25,78304
26,78496
27,75264
28,75360
29,72512
30,80128
32,74816
31,76224
33,74496
34,78080
36,75104
35,73344
37,77952
38,74048
39,72928
40,74784
41,74880
42,75072
43,76608
45,74240
44,75712
46,74112
48,73504
49,74624
47,77952
50,75392
52,76992
51,74240
53,74880
54,78208
55,73792
57,72576
58,72640
56,74592
59,73440
60,75040
61,73376
62,74720
63,75168
