block_id,node_id,time_ms,inject_time_ms
0,812,0,0
1,587,31.25,31.25
2,841,62.5,62.5
3,82,93.75,93.75
4,496,125.0,125.0
5,780,156.25,156.25
6,267,187.5,187.5
7,37,218.75,218.75
8,0,250.0,250.0
0,240,250.8437696833963,0
2,288,253.1296846974723,62.5
0,377,254.28409730824558,0
1,259,254.61305530846215,31.25
1,520,257.8446753231668,31.25
0,927,259.03464688322083,0
0,465,268.6728973299494,0
2,328,271.28782677311864,62.5
0,827,273.75300862919227,0
2,390,275.5009949519376,62.5
0,292,276.3017950838607,0
9,149,281.25,281.25
2,23,285.6200289866174,62.5
1,950,287.3872703614019,31.25
1,591,288.62914931831153,31.25
1,195,291.8732844066814,31.25
10,678,312.5,312.5
1,339,313.10937729848075,31.25
1,350,313.3299821440537,31.25
0,164,316.29671706032354,0
3,230,321.2809065585014,93.75
0,564,328.70312118354667,0
4,242,331.3447692750487,125.0
3,174,332.1543557910111,93.75
1,370,342.5174536675048,31.25
11,600,343.75,343.75
2,229,344.1488388980665,62.5
0,580,346.2768785181453,0
2,550,351.99517484382693,62.5
0,220,354.14105137379676,0
0,956,354.8771468937606,0
0,951,355.465709127817,0
0,923,355.711633196206,0
4,147,357.4045002106708,125.0
1,977,359.2011229832776,31.25
1,101,359.5951848533774,31.25
0,493,359.89076310710453,0
0,302,361.2629768769973,0
0,773,363.8837604437134,0
1,400,364.3918360273796,31.25
0,682,367.5677274602175,0
4,196,367.8137198520758,125.0
0,322,367.9126665241875,0
3,330,372.16835367679084,93.75
3,99,372.72555869103576,93.75
1,163,373.104310832317,31.25
0,235,373.8763712044779,0
12,481,375.0,375.0
0,320,375.2759756772857,0
1,901,375.865619837445,31.25
1,85,375.9097413969051,31.25
5,937,377.8866755922046,156.25
0,972,377.926269519996,0
0,760,378.05116481566307,0
0,11,378.78500872883546,0
1,431,379.39388391183667,31.25
4,848,382.43791730890166,125.0
0,862,382.58319409620447,0
4,924,382.76354213325686,125.0
1,162,383.34463300658774,31.25
1,750,383.77107707925893,31.25
1,106,384.0183516668494,31.25
3,112,385.9832925287399,93.75
0,736,386.0055422448796,0
0,407,386.4641910310529,0
0,498,386.69743407402274,0
1,368,387.5377879677279,31.25
1,619,390.4117258232409,31.25
0,674,390.4547623125122,0
4,14,393.8902124613078,125.0
0,689,394.44718797975094,0
5,647,394.86216694921984,156.25
2,874,394.89206258948525,62.5
0,617,396.2760417953933,0
0,574,396.691166936503,0
0,386,397.02836981873236,0
3,22,397.08456758658446,93.75
3,626,397.8010016218923,93.75
5,475,399.9224463694883,156.25
2,279,400.0482574801539,62.5
0,630,400.2674275499332,0
0,798,400.9077912262815,0
1,242,401.0118112051757,31.25
3,269,401.36371643321365,93.75
1,694,401.4219769133377,31.25
0,891,401.5749610237523,0
0,639,402.92449759640976,0
0,800,403.17148373768504,0
0,388,404.08015939589006,0
0,77,404.78007399326344,0
13,988,406.25,406.25
3,542,406.30328565079157,93.75
0,938,406.40433312062794,0
0,768,406.42589731894697,0
1,206,406.5978887871403,31.25
2,733,407.7285311839573,62.5
0,63,408.24932573145946,0
1,103,409.32101797291375,31.25
1,603,410.8861557473093,31.25
4,43,412.84160231151026,125.0
0,796,412.88329525025017,0
0,804,413.5027419109771,0
3,720,413.6517057107076,93.75
0,604,413.7347489937574,0
1,399,414.60713074609805,31.25
0,982,414.6383857459569,0
1,299,415.88472065921167,31.25
2,367,416.32513703053576,62.5
1,438,417.00275274516946,31.25
3,293,417.06354492000105,93.75
1,48,419.41271421331624,31.25
0,482,421.00788775660044,0
4,838,421.28347566216155,125.0
1,474,421.6328113693473,31.25
4,830,423.5304419953347,125.0
1,377,423.99101909841966,31.25
1,777,425.05759568008534,31.25
0,767,425.43089984997135,0
0,532,425.67847209135664,0
2,178,428.6301721588091,62.5
0,136,429.6117326939823,0
0,94,429.97817934667967,0
4,277,430.3482571115446,125.0
3,44,430.9837605957499,93.75
1,534,431.38490396841246,31.25
6,728,431.96499425936565,187.5
0,452,433.2237088254696,0
1,586,433.4685959428732,31.25
0,533,434.3277273219293,0
0,252,434.7738218078717,0
1,498,434.81083937189123,31.25
3,354,435.025897951041,93.75
2,595,435.2996694161118,62.5
7,233,435.9454835903503,218.75
0,429,435.95017997006573,0
0,37,436.14300475560475,0
6,347,436.6744591961019,187.5
1,615,436.9129077861627,31.25
14,777,437.5,437.5
5,137,438.2315552241275,156.25
0,342,438.74784454476804,0
0,6,439.0873307016147,0
0,615,440.4383792225024,0
2,337,440.5709914556801,62.5
