block_id,shard_count
0,79840
1,78048
2,81664
4,83936
3,84864
5,79936
6,79776
7,84672
8,79840
9,79936
10,79808
11,82304
13,78560
12,75584
14,81024
15,76576
16,79584
17,79328
19,74528
18,75968
20,77600
21,78144
22,79232
23,76832
24,75424
25,74336
26,75520
28,75744
27,75648
29,74112
30,74944
31,72832
32,74656
33,79360
34,75776
35,73216
36,77632
37,73408
38,76768
39,74304
40,71488
41,72832
42,71712
43,78432
45,75040
44,74048
46,74336
47,74656
49,74048
48,74976
50,73152
51,72544
52,72512
53,71904
54,70400
55,71488
56,72640
57,73824
58,73088
59,75840
60,73472
61,73984
62,75776
63,73984
