block_id,shard_count
0,82560
1,85792
2,79520
3,83104
4,81888
6,79680
5,83136
7,80832
8,82944
9,82464
10,80800
11,83520
12,81888
13,79392
14,78880
15,73792
16,78976
17,77344
18,80320
19,80576
20,75136
21,77952
23,81920
22,73760
24,75840
25,78464
26,76352
27,69984
28,76800
29,77120
30,77440
31,72928
32,77120
33,76064
34,75584
35,77344
36,73888
37,75424
38,76288
39,75296
40,75584
41,77568
42,74688
43,71712
44,73984
45,73312
46,73984
47,71392
48,73696
49,73472
51,71552
50,76192
52,76160
54,74592
53,70080
56,73376
55,72736
57,69344
58,73120
59,71104
60,70720
61,73280
62,73888
63,70304
